Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
3,1713117432528,14/04/2024 17:57:12,1713124632528,2,14/04/2024 21:57:12,143587,32,task-iam7,,37010194,finc3,9856553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,2560x1440,2560x1253,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1713365021442,17/04/2024 14:43:41,1713372221442,2,17/04/2024 18:43:41,143587,32,task-iam7,,37092146,fqrf6,9856434,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1696x954,1696x810,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713365021542,17/04/2024 14:43:41,1713372221542,2,17/04/2024 18:43:41,143587,32,task-iam7,,37092146,fqrf6,9856434,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1696x954,1696x810,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,102.5,102.09999999999991,102.5,102.5,102.09999999999991,102.5,1,102.5,0,0,,Time Limit,screen,0,screen,dummy,
3,1713365021542,17/04/2024 14:43:41,1713372221542,2,17/04/2024 18:43:41,143587,32,task-iam7,,37092146,fqrf6,9856434,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1696x954,1696x810,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1713372669336,17/04/2024 16:51:09,1713379869336,2,17/04/2024 20:51:09,143587,32,task-iam7,,37096507,rvax5,9856438,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x963,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713372669418,17/04/2024 16:51:09,1713379869418,2,17/04/2024 20:51:09,143587,32,task-iam7,,37096507,rvax5,9856438,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x963,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,100.83999999999992,99.93999999999983,100.83999999999992,100.83999999999992,99.93999999999983,100.83999999999992,1,100.83999999999992,0,0,,Time Limit,screen,0,screen,dummy,
3,1713372669420,17/04/2024 16:51:09,1713379869420,2,17/04/2024 20:51:09,143587,32,task-iam7,,37096507,rvax5,9856438,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x963,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1714455711511,30/04/2024 05:41:51,1714462911511,2,30/04/2024 09:41:51,143587,32,task-iam7,,37345570,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1714455711575,30/04/2024 05:41:51,1714462911575,2,30/04/2024 09:41:51,143587,32,task-iam7,,37345570,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,102.26799985694879,99.76800000000003,102.26799985694879,102.26799985694879,99.76800000000003,102.26799985694879,1,102.26799985694879,0,0,,Time Limit,screen,0,screen,dummy,
3,1714455711577,30/04/2024 05:41:51,1714462911577,2,30/04/2024 09:41:51,143587,32,task-iam7,,37345570,ezje7,9856552,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x854,1280x685,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
